route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10A_2,FULLW,10A_2_PM_14,,,,
10A_2,FULLW,10A_2_PM_15,,,,
10A_2,FULLW,10A_2_PM_16,,,,
10A_2,FULLW,10A_2_PM_17,,,,
10A_2,FULLW,10A_2_PM_18,,,,
10A_2,FULLW,10A_2_PM_19,,,,
10A_2,FULLW,10A_2_PM_20,,,,
10A_2,FULLW,10A_2_PM_21,,,,
10B_1,FULLW,10B_1_PM_1,,,,
10B_1,FULLW,10B_1_PM_2,,,,
10B_1,FULLW,10B_1_PM_3,,,,
10B_1,FULLW,10B_1_PM_4,,,,
10B_1,FULLW,10B_1_PM_5,,,,
10B_1,FULLW,10B_1_PM_6,,,,
10B_1,FULLW,10B_1_PM_7,,,,
10B_1,FULLW,10B_1_PM_8,,,,
10B_1,FULLW,10B_1_PM_9,,,,
10B_2,FULLW,10B_2_PM_1,,,,
10B_2,FULLW,10B_2_PM_2,,,,
10B_2,FULLW,10B_2_PM_3,,,,
10B_2,FULLW,10B_2_PM_4,,,,
10B_2,FULLW,10B_2_PM_5,,,,
10B_2,FULLW,10B_2_PM_6,,,,
10B_2,FULLW,10B_2_PM_7,,,,
10B_2,FULLW,10B_2_PM_8,,,,
10B_2,FULLW,10B_2_PM_9,,,,
11_1,FULLW,11_1_PM_1,,,,
11_1,FULLW,11_1_PM_2,,,,
11_1,FULLW,11_1_PM_3,,,,
11_1,FULLW,11_1_PM_4,,,,
11_1,FULLW,11_1_PM_5,,,,
11_1,FULLW,11_1_PM_6,,,,
11_1,FULLW,11_1_PM_7,,,,
11_1,FULLW,11_1_PM_8,,,,
11_1,FULLW,11_1_PM_9,,,,
11_1,FULLW,11_1_PM_10,,,,
11_1,FULLW,11_1_PM_11,,,,
11_1,FULLW,11_1_PM_12,,,,
11_1,FULLW,11_1_PM_13,,,,
11_1,FULLW,11_1_PM_14,,,,
11_1,FULLW,11_1_PM_15,,,,
11_1,FULLW,11_1_PM_16,,,,
11_1,FULLW,11_1_PM_17,,,,
11_1,FULLW,11_1_PM_18,,,,
11_1,FULLW,11_1_PM_19,,,,
11_1,FULLW,11_1_PM_20,,,,
11_1,FULLW,11_1_PM_21,,,,
11_2,FULLW,11_2_PM_1,,,,
11_2,FULLW,11_2_PM_2,,,,
11_2,FULLW,11_2_PM_3,,,,
11_2,FULLW,11_2_PM_4,,,,
11_2,FULLW,11_2_PM_5,,,,
11_2,FULLW,11_2_PM_6,,,,
11_2,FULLW,11_2_PM_7,,,,
11_2,FULLW,11_2_PM_8,,,,
11_2,FULLW,11_2_PM_9,,,,
11_2,FULLW,11_2_PM_10,,,,
11_2,FULLW,11_2_PM_11,,,,
11_2,FULLW,11_2_PM_12,,,,
11_2,FULLW,11_2_PM_13,,,,
11_2,FULLW,11_2_PM_14,,,,
11_2,FULLW,11_2_PM_15,,,,
11_2,FULLW,11_2_PM_16,,,,
11_2,FULLW,11_2_PM_17,,,,
11_2,FULLW,11_2_PM_18,,,,
11_2,FULLW,11_2_PM_19,,,,
11_2,FULLW,11_2_PM_20,,,,
11_2,FULLW,11_2_PM_21,,,,
12_1,FULLW,12_1_PM_1,,,,
12_1,FULLW,12_1_PM_2,,,,
