stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
03B_1_S8,STOP_03B_1_S8,,20.99583363,105.8521571,,
03B_1_S9,STOP_03B_1_S9,,20.99530031,105.8566737,,
03B_1_S10,STOP_03B_1_S10,,20.9960153,105.8607013,,
03B_1_S11,STOP_03B_1_S11,,20.99690028,105.8632569,,
03B_1_S12,STOP_03B_1_S12,,20.99788359,105.8663735,,
03B_1_S13,STOP_03B_1_S13,,21.03014947,105.8987727,,
03B_1_S14,STOP_03B_1_S14,,21.0398659,105.904006,,
03B_1_S15,STOP_03B_1_S15,,21.05003232,105.9178056,,
03B_1_S16,STOP_03B_1_S16,,21.04718239,105.9194223,,
03B_1_S17,STOP_03B_1_S17,,21.04324916,105.9254721,,
03B_1_S18,STOP_03B_1_S18,,21.04754905,105.9238055,,
03B_1_S19,STOP_03B_1_S19,,21.0455611,105.9243268,,
03B_2_S1,STOP_03B_2_S1,,21.0455611,105.9243268,,
03B_2_S2,STOP_03B_2_S2,,21.04363249,105.9251221,,
03B_2_S3,STOP_03B_2_S3,,21.04714906,105.9198056,,
03B_2_S4,STOP_03B_2_S4,,21.05006566,105.9181056,,
03B_2_S5,STOP_03B_2_S5,,21.04051588,105.904156,,
03B_2_S6,STOP_03B_2_S6,,21.0302828,105.8985061,,
03B_2_S7,STOP_03B_2_S7,,20.99811691,105.8665402,,
03B_2_S8,STOP_03B_2_S8,,20.99706694,105.8635569,,
03B_2_S9,STOP_03B_2_S9,,20.99596696,105.8601736,,
03B_2_S10,STOP_03B_2_S10,,20.9955303,105.8557174,,
03B_2_S11,STOP_03B_2_S11,,20.99603362,105.8507905,,
03B_2_S12,STOP_03B_2_S12,,20.99659727,105.8462676,,
03B_2_S13,STOP_03B_2_S13,,20.99343368,105.8409241,,
03B_2_S14,STOP_03B_2_S14,,20.98785049,105.8407907,,
03B_2_S15,STOP_03B_2_S15,,20.9844839,105.8407574,,
03B_2_S16,STOP_03B_2_S16,,20.980634,105.8406907,,
03B_2_S17,STOP_03B_2_S17,,20.97651743,105.8406241,,
03B_2_S18,STOP_03B_2_S18,,20.97203421,105.8406074,,
03B_2_S19,STOP_03B_2_S19,,20.96512805,105.8416727,,
03B_2_S20,STOP_03B_2_S20,,20.96031417,105.8420267,,
03B_2_S21,STOP_03B_2_S21,,20.96490106,105.8423907,,
04_1_S1,STOP_04_1_S1,,21.04289912,105.8480735,,
04_1_S2,STOP_04_1_S2,,21.04168248,105.8490905,,
04_1_S3,STOP_04_1_S3,,21.03371602,105.8542571,,
04_1_S4,STOP_04_1_S4,,21.02836615,105.8554904,,
04_1_S5,STOP_04_1_S5,,21.02163299,105.8577737,,
04_1_S6,STOP_04_1_S6,,21.01668311,105.8583403,,
04_1_S7,STOP_04_1_S7,,21.01414984,105.859057,,
04_1_S8,STOP_04_1_S8,,21.0118369,105.8590443,,
04_1_S9,STOP_04_1_S9,,21.00696669,105.8607236,,
04_1_S10,STOP_04_1_S10,,21.00236914,105.8611693,,
04_1_S11,STOP_04_1_S11,,20.99778358,105.8616403,,
04_1_S12,STOP_04_1_S12,,20.99243372,105.8622403,,
04_1_S13,STOP_04_1_S13,,20.99073376,105.8642569,,
04_1_S14,STOP_04_1_S14,,20.9865672,105.8692068,,
04_1_S15,STOP_04_1_S15,,20.98488391,105.87259,,
04_1_S16,STOP_04_1_S16,,20.98435059,105.8739233,,
04_1_S17,STOP_04_1_S17,,20.98311729,105.8772066,,
04_1_S18,STOP_04_1_S18,,20.98146734,105.8813732,,
04_1_S19,STOP_04_1_S19,,20.98036737,105.8855397,,
04_1_S20,STOP_04_1_S20,,20.97695079,105.8859397,,
04_1_S21,STOP_04_1_S21,,20.97246756,105.8804232,,
04_1_S22,STOP_04_1_S22,,20.96603438,105.8747567,,
04_1_S23,STOP_04_1_S23,,20.96468441,105.8665402,,
04_1_S24,STOP_04_1_S24,,20.96550105,105.8553574,,
04_1_S25,STOP_04_1_S25,,20.96626769,105.844474,,
04_1_S26,STOP_04_1_S26,,20.96512805,105.8416727,,
04_1_S27,STOP_04_1_S27,,20.96031417,105.8420267,,
04_1_S28,STOP_04_1_S28,,20.96506805,105.8420577,,
04_2_S1,STOP_04_2_S1,,20.96506805,105.8420577,,
04_2_S2,STOP_04_2_S2,,20.96570304,105.8503355,,
04_2_S3,STOP_04_2_S3,,20.96449208,105.8580544,,
04_2_S4,STOP_04_2_S4,,20.9639011,105.8636736,,
04_2_S5,STOP_04_2_S5,,20.96585106,105.87554,,
04_2_S6,STOP_04_2_S6,,20.97293422,105.8815898,,
04_2_S7,STOP_04_2_S7,,20.98026737,105.8866564,,
04_2_S8,STOP_04_2_S8,,20.98138401,105.8816898,,
04_2_S9,STOP_04_2_S9,,20.98305063,105.8774899,,
04_2_S10,STOP_04_2_S10,,20.98421727,105.87439,,
04_2_S11,STOP_04_2_S11,,20.98498391,105.8725234,,
04_2_S12,STOP_04_2_S12,,20.98733385,105.8680568,,
04_2_S13,STOP_04_2_S13,,20.9890838,105.8658902,,
04_2_S14,STOP_04_2_S14,,20.99435034,105.8626402,,
04_2_S15,STOP_04_2_S15,,20.99770025,105.8617236,,
04_2_S16,STOP_04_2_S16,,21.00225014,105.8613069,,
04_2_S17,STOP_04_2_S17,,21.00566672,105.8609236,,
04_2_S18,STOP_04_2_S18,,21.01261688,105.8585413,,
04_2_S19,STOP_04_2_S19,,21.01578313,105.8565404,,
04_2_S20,STOP_04_2_S20,,21.01903305,105.8551071,,
04_2_S21,STOP_04_2_S21,,21.0238996,105.856657,,
04_2_S22,STOP_04_2_S22,,21.02698285,105.856057,,
04_2_S23,STOP_04_2_S23,,21.03223139,105.8555124,,
04_2_S24,STOP_04_2_S24,,21.03483266,105.8545404,,
04_2_S25,STOP_04_2_S25,,21.04173215,105.8493075,,
04_2_S26,STOP_04_2_S26,,21.04289912,105.8480735,,
05_1_S1,STOP_05_1_S1,,20.96361775,105.830341,,
05_1_S2,STOP_05_1_S2,,20.96383308,105.830239,,
05_1_S3,STOP_05_1_S3,,20.96518438,105.8311076,,
05_1_S4,STOP_05_1_S4,,20.96525104,105.8264911,,
05_1_S5,STOP_05_1_S5,,20.96746765,105.8263411,,
05_1_S6,STOP_05_1_S6,,20.9707879,105.8258581,,
05_1_S7,STOP_05_1_S7,,20.97306751,105.8246244,,
05_1_S8,STOP_05_1_S8,,20.9788507,105.8221578,,
05_1_S9,STOP_05_1_S9,,20.97975067,105.8199412,,
05_1_S10,STOP_05_1_S10,,20.98576719,105.813758,,
05_1_S11,STOP_05_1_S11,,20.99160037,105.8132747,,
05_1_S12,STOP_05_1_S12,,20.99493362,105.814258,,
05_1_S13,STOP_05_1_S13,,20.99618359,105.8090914,,
05_1_S14,STOP_05_1_S14,,20.99581693,105.8053582,,
05_1_S15,STOP_05_1_S15,,21.00053314,105.8016746,,
05_1_S16,STOP_05_1_S16,,21.00311674,105.799625,,
05_1_S17,STOP_05_1_S17,,21.00694998,105.7966084,,
05_1_S18,STOP_05_1_S18,,21.01095288,105.7931878,,
05_1_S19,STOP_05_1_S19,,21.01403314,105.7949251,,
05_1_S20,STOP_05_1_S20,,21.01656674,105.7943088,,
05_1_S21,STOP_05_1_S21,,21.02227159,105.7907438,,
05_1_S22,STOP_05_1_S22,,21.02555051,105.7888239,,
05_1_S23,STOP_05_1_S23,,21.02833277,105.784692,,
05_1_S24,STOP_05_1_S24,,21.02896642,105.7806751,,
05_1_S25,STOP_05_1_S25,,21.02928641,105.7779651,,
05_1_S26,STOP_05_1_S26,,21.03127936,105.7745332,,
05_1_S27,STOP_05_1_S27,,21.03361597,105.7705756,,
05_1_S28,STOP_05_1_S28,,21.03466594,105.7666757,,
05_1_S29,STOP_05_1_S29,,21.04038246,105.7663257,,
05_1_S30,STOP_05_1_S30,,21.04698229,105.7629258,,
05_1_S31,STOP_05_1_S31,,21.05126552,105.7634424,,
05_1_S32,STOP_05_1_S32,,21.05416545,105.7637091,,
05_1_S33,STOP_05_1_S33,,21.05951532,105.7645757,,
05_2_S1,STOP_05_2_S1,,21.05951532,105.7645757,,
05_2_S2,STOP_05_2_S2,,21.05431545,105.7637257,,
05_2_S3,STOP_05_2_S3,,21.05171551,105.7634924,,
05_2_S4,STOP_05_2_S4,,21.04751561,105.7626091,,
05_2_S5,STOP_05_2_S5,,21.04025213,105.7658754,,
05_2_S6,STOP_05_2_S6,,21.03434928,105.766809,,
05_2_S7,STOP_05_2_S7,,21.0333713,105.7706713,,
05_2_S8,STOP_05_2_S8,,21.03109936,105.7743755,,
05_2_S9,STOP_05_2_S9,,21.02906608,105.7782921,,
05_2_S10,STOP_05_2_S10,,21.02854943,105.781592,,
05_2_S11,STOP_05_2_S11,,21.02669948,105.7878252,,
05_2_S12,STOP_05_2_S12,,21.02233293,105.7905085,,
05_2_S13,STOP_05_2_S13,,21.01631641,105.7941751,,
05_2_S14,STOP_05_2_S14,,21.01376648,105.7943084,,
05_2_S15,STOP_05_2_S15,,21.01093321,105.7931418,,
05_2_S16,STOP_05_2_S16,,21.00665599,105.7967207,,
05_2_S17,STOP_05_2_S17,,21.00348607,105.7992777,,
05_2_S18,STOP_05_2_S18,,21.00041715,105.8016086,,
05_2_S19,STOP_05_2_S19,,20.99661691,105.8045915,,
05_2_S20,STOP_05_2_S20,,20.99383365,105.8056415,,
05_2_S21,STOP_05_2_S21,,20.9956336,105.8089248,,
05_2_S22,STOP_05_2_S22,,20.99360032,105.8060748,,
05_2_S23,STOP_05_2_S23,,20.99631692,105.8137413,,
05_2_S24,STOP_05_2_S24,,20.99218369,105.8133747,,
05_2_S25,STOP_05_2_S25,,20.98485054,105.814158,,
05_2_S26,STOP_05_2_S26,,20.979834,105.8195079,,
05_2_S27,STOP_05_2_S27,,20.97825071,105.8230911,,
05_2_S28,STOP_05_2_S28,,20.97266752,105.8243911,,
05_2_S29,STOP_05_2_S29,,20.97036758,105.8259244,,
05_2_S30,STOP_05_2_S30,,20.96511304,105.8261381,,
05_2_S31,STOP_05_2_S31,,20.96383308,105.830239,,
05_2_S32,STOP_05_2_S32,,20.96361775,105.830341,,
06A_1_S1,STOP_06A_1_S1,,20.98020068,105.8414577,,
06A_1_S2,STOP_06A_1_S2,,20.980634,105.8406907,,
06A_1_S3,STOP_06A_1_S3,,20.97651743,105.8406241,,
06A_1_S4,STOP_06A_1_S4,,20.97203421,105.8406074,,
06A_1_S5,STOP_06A_1_S5,,20.96512805,105.8416727,,
06A_1_S6,STOP_06A_1_S6,,20.96031417,105.8420267,,
06A_1_S7,STOP_06A_1_S7,,20.95523463,105.8430574,,
06A_1_S8,STOP_06A_1_S8,,20.9523847,105.8436574,,
06A_1_S9,STOP_06A_1_S9,,20.94680151,105.8440074,,
06A_1_S10,STOP_06A_1_S10,,20.94253495,105.8437074,,
06A_1_S11,STOP_06A_1_S11,,20.9391517,105.844124,,
06A_1_S12,STOP_06A_1_S12,,20.93555179,105.845574,,
06A_1_S13,STOP_06A_1_S13,,20.9324352,105.8468073,,
06A_1_S14,STOP_06A_1_S14,,20.927052,105.8491406,,
06A_1_S15,STOP_06A_1_S15,,20.92331877,105.8514406,,
06A_1_S16,STOP_06A_1_S16,,20.91891721,105.8521485,,
06A_1_S17,STOP_06A_1_S17,,20.9124857,105.8522239,,
06A_1_S18,STOP_06A_1_S18,,20.90776915,105.8524905,,
06A_1_S19,STOP_06A_1_S19,,20.90363592,105.8529405,,
06A_1_S20,STOP_06A_1_S20,,20.89380284,105.8559071,,
06A_1_S21,STOP_06A_1_S21,,20.88855297,105.8575738,,
06A_1_S22,STOP_06A_1_S22,,20.88018651,105.8601904,,
06A_1_S23,STOP_06A_1_S23,,20.87490331,105.8628737,,
06A_1_S24,STOP_06A_1_S24,,20.86917012,105.865057,,
06A_1_S25,STOP_06A_1_S25,,20.86385359,105.8668569,,
06A_1_S26,STOP_06A_1_S26,,20.8542705,105.8700735,,
06A_1_S27,STOP_06A_1_S27,,20.84303745,105.8726235,,
06A_1_S28,STOP_06A_1_S28,,20.83100442,105.87754,,
06A_1_S29,STOP_06A_1_S29,,20.8236546,105.8817066,,
06A_1_S30,STOP_06A_1_S30,,20.80665503,105.8837733,,
06A_1_S31,STOP_06A_1_S31,,20.79717193,105.8866065,,
06A_1_S32,STOP_06A_1_S32,,20.78597221,105.8920064,,
06A_1_S33,STOP_06A_1_S33,,20.77348919,105.8990229,,
06A_1_S34,STOP_06A_1_S34,,20.76940597,105.9032228,,
06A_1_S35,STOP_06A_1_S35,,20.76240614,105.9092227,,
06A_1_S36,STOP_06A_1_S36,,20.7562113,105.9117263,,
06A_1_S37,STOP_06A_1_S37,,20.74723986,105.9113393,,
06A_1_S38,STOP_06A_1_S38,,20.74154,105.9132726,,
06A_1_S39,STOP_06A_1_S39,,20.73799009,105.913306,,
06A_1_S40,STOP_06A_1_S40,,20.73127359,105.912206,,
06A_1_S41,STOP_06A_1_S41,,20.72095718,105.9113394,,
06A_1_S42,STOP_06A_1_S42,,20.71584064,105.9105727,,
06A_1_S43,STOP_06A_1_S43,,20.70825749,105.9104061,,
06A_1_S44,STOP_06A_1_S44,,20.70329095,105.9101894,,
06A_1_S45,STOP_06A_1_S45,,20.69640779,105.9103064,,
06A_2_S1,STOP_06A_2_S1,,20.69640779,105.9103064,,
06A_2_S2,STOP_06A_2_S2,,20.70232431,105.9103727,,
06A_2_S3,STOP_06A_2_S3,,20.70930747,105.9106394,,
06A_2_S4,STOP_06A_2_S4,,20.714874,105.9106061,,
06A_2_S5,STOP_06A_2_S5,,20.72160716,105.9116894,,
06A_2_S6,STOP_06A_2_S6,,20.73197357,105.9122727,,
06A_2_S7,STOP_06A_2_S7,,20.73712344,105.9130393,,
06A_2_S8,STOP_06A_2_S8,,20.74188999,105.913256,,
06A_2_S9,STOP_06A_2_S9,,20.74650654,105.9116893,,
06A_2_S10,STOP_06A_2_S10,,20.75323971,105.911356,,
06A_2_S11,STOP_06A_2_S11,,20.7630228,105.9087561,,
06A_2_S12,STOP_06A_2_S12,,20.76930597,105.9034728,,
06A_2_S13,STOP_06A_2_S13,,20.77398918,105.8986729,,
06A_2_S14,STOP_06A_2_S14,,20.78565555,105.8922231,,
06A_2_S15,STOP_06A_2_S15,,20.79660528,105.8869399,,
06A_2_S16,STOP_06A_2_S16,,20.8063717,105.8838233,,
06A_2_S17,STOP_06A_2_S17,,20.82313795,105.8820899,,
06A_2_S18,STOP_06A_2_S18,,20.8303711,105.8779734,,
06A_2_S19,STOP_06A_2_S19,,20.84287078,105.8727401,,
06A_2_S20,STOP_06A_2_S20,,20.8540205,105.8701902,,
06A_2_S21,STOP_06A_2_S21,,20.86482023,105.8665903,,
06A_2_S22,STOP_06A_2_S22,,20.87072009,105.8647236,,
06A_2_S23,STOP_06A_2_S23,,20.87646994,105.862357,,
